model,fps,lut,bram18k,dsp,mac_efficiency
3w3a_yolov8n_480_30fps_hls,30.140817901234566,347261.0,0.0,0.0,89.29%
3w3a_yolov8n_640_30fps_hls,32.552083333333336,363217.0,0.0,0.0,92.7%
3w3a_yolov8p_480_30fps_hls,30.140817901234566,253789.0,0.0,0.0,74.56%
3w3a_yolov8p_640_30fps_hls,32.552083333333336,262046.0,0.0,0.0,86.78%
3w3a_yolov8s_480_30fps_hls,30.140817901234566,904294.0,0.0,0.0,96.4%
3w3a_yolov8s_640_30fps_hls,30.517578125,938556.0,0.0,0.0,87.55%
4w4a_yolov8n_320_30fps_hls,32.552083333333336,403987.0,0.0,0.0,79.06%
4w4a_yolov8n_480_30fps_hls,30.140817901234566,414171.0,0.0,0.0,89.29%
4w4a_yolov8n_640_30fps_hls,32.552083333333336,439866.0,0.0,0.0,92.7%
4w4a_yolov8p_320_30fps_hls,32.552083333333336,269103.0,0.0,0.0,53.0%
4w4a_yolov8p_480_30fps_hls,30.140817901234566,280321.0,0.0,0.0,74.56%
4w4a_yolov8p_640_30fps_hls,32.552083333333336,299262.0,0.0,0.0,86.78%
4w4a_yolov8s_320_30fps_hls,30.517578125,1061140.0,0.0,0.0,85.91%
4w4a_yolov8s_480_30fps_hls,30.140817901234566,1092435.0,0.0,0.0,96.4%
4w4a_yolov8s_640_30fps_hls,30.517578125,1140943.0,0.0,0.0,87.55%
8w8a_yolov8n_320_30fps_hls,32.552083333333336,969144.0,0.0,0.0,79.06%
8w8a_yolov8n_480_30fps_hls,30.140817901234566,982483.0,0.0,0.0,89.29%
8w8a_yolov8n_640_30fps_hls,32.552083333333336,1018018.0,0.0,0.0,92.7%
8w8a_yolov8p_320_30fps_hls,32.552083333333336,601869.0,0.0,0.0,53.0%
8w8a_yolov8p_480_30fps_hls,30.140817901234566,606609.0,0.0,0.0,74.56%
8w8a_yolov8p_640_30fps_hls,32.552083333333336,628261.0,0.0,0.0,86.78%
8w8a_yolov8s_320_30fps_hls,30.517578125,2495029.0,0.0,0.0,85.91%
8w8a_yolov8s_480_30fps_hls,30.140817901234566,2558144.0,0.0,0.0,96.4%
8w8a_yolov8s_640_30fps_hls,30.517578125,2632531.0,0.0,0.0,87.55%
